0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,target
26512038085.0,2.198,10.0,1.0,4.3339358,26512038085.0,2.2114,10.0,1.0,4.3339358,26512038085.0,2.224,10.0,1.0,4.3339358,26512038085.0,2.22,10.0,1.0,4.3339358,26512038085.0,2.253,10.0,1.0,4.3339358,2.2560870708137064
26512038085.0,2.2114,10.0,1.0,4.3339358,26512038085.0,2.224,10.0,1.0,4.3339358,26512038085.0,2.22,10.0,1.0,4.3339358,26512038085.0,2.253,10.0,1.0,4.3339358,26512038085.0,2.276,10.0,1.0,4.3339358,2.2661132583591352
26512038085.0,2.224,10.0,1.0,4.3339358,26512038085.0,2.22,10.0,1.0,4.3339358,26512038085.0,2.253,10.0,1.0,4.3339358,26512038085.0,2.276,10.0,1.0,4.3339358,26512038085.0,2.2755,10.0,1.0,4.3339358,2.240884285348415
26512038085.0,2.22,10.0,1.0,4.3339358,26512038085.0,2.253,10.0,1.0,4.3339358,26512038085.0,2.276,10.0,1.0,4.3339358,26512038085.0,2.2755,10.0,1.0,4.3339358,26512038085.0,2.275,10.0,1.0,4.3339358,2.248944147912634
26512038085.0,2.253,10.0,1.0,4.3339358,26512038085.0,2.276,10.0,1.0,4.3339358,26512038085.0,2.2755,10.0,1.0,4.3339358,26512038085.0,2.275,10.0,1.0,4.3339358,26512038085.0,2.267,10.0,1.0,4.3339358,2.2666728084869585
26512038085.0,2.276,10.0,1.0,4.3339358,26512038085.0,2.2755,10.0,1.0,4.3339358,26512038085.0,2.275,10.0,1.0,4.3339358,26512038085.0,2.267,10.0,1.0,4.3339358,26512038085.0,2.258,10.0,1.0,4.3339358,2.2792150910188034
26512038085.0,2.2755,10.0,1.0,4.3339358,26512038085.0,2.275,10.0,1.0,4.3339358,26512038085.0,2.267,10.0,1.0,4.3339358,26512038085.0,2.258,10.0,1.0,4.3339358,26512038085.0,2.264,10.0,1.0,4.3339358,2.2557176171054243
26512038085.0,2.275,10.0,1.0,4.3339358,26512038085.0,2.267,10.0,1.0,4.3339358,26512038085.0,2.258,10.0,1.0,4.3339358,26512038085.0,2.264,10.0,1.0,4.3339358,26512038085.0,2.26738,10.0,1.0,4.3339358,2.261599883742533
26512038085.0,2.267,10.0,1.0,4.3339358,26512038085.0,2.258,10.0,1.0,4.3339358,26512038085.0,2.264,10.0,1.0,4.3339358,26512038085.0,2.26738,10.0,1.0,4.3339358,26512038085.0,2.256,10.0,1.0,4.3339358,2.2943680130963986
26512038085.0,2.258,10.0,1.0,4.3339358,26512038085.0,2.264,10.0,1.0,4.3339358,26512038085.0,2.26738,10.0,1.0,4.3339358,26512038085.0,2.256,10.0,1.0,4.3339358,26512038085.0,2.272,10.0,1.0,4.3339358,2.3107637411730018
