0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,target
910559805.0,8.516,10.0,1.0,1.42121518,910559805.0,8.569,10.0,1.0,1.42121518,910559805.0,8.398,10.0,1.0,1.42121518,910559805.0,8.52,10.0,1.0,1.42121518,910559805.0,8.667,10.0,1.0,1.42121518,8.576035786289282
910559805.0,8.569,10.0,1.0,1.42121518,910559805.0,8.398,10.0,1.0,1.42121518,910559805.0,8.52,10.0,1.0,1.42121518,910559805.0,8.667,10.0,1.0,1.42121518,910559805.0,8.883,10.0,1.0,1.42121518,8.465118278668296
910559805.0,8.398,10.0,1.0,1.42121518,910559805.0,8.52,10.0,1.0,1.42121518,910559805.0,8.667,10.0,1.0,1.42121518,910559805.0,8.883,10.0,1.0,1.42121518,910559805.0,8.805,10.0,1.0,1.42121518,8.342942034546637
910559805.0,8.52,10.0,1.0,1.42121518,910559805.0,8.667,10.0,1.0,1.42121518,910559805.0,8.883,10.0,1.0,1.42121518,910559805.0,8.805,10.0,1.0,1.42121518,910559805.0,8.753,10.0,1.0,1.42121518,8.419065581240421
910559805.0,8.667,10.0,1.0,1.42121518,910559805.0,8.883,10.0,1.0,1.42121518,910559805.0,8.805,10.0,1.0,1.42121518,910559805.0,8.753,10.0,1.0,1.42121518,910559805.0,8.724,10.0,1.0,1.42121518,8.27502639403754
910559805.0,8.883,10.0,1.0,1.42121518,910559805.0,8.805,10.0,1.0,1.42121518,910559805.0,8.753,10.0,1.0,1.42121518,910559805.0,8.724,10.0,1.0,1.42121518,910559805.0,8.505,10.0,1.0,1.42121518,8.303212495557924
910559805.0,8.805,10.0,1.0,1.42121518,910559805.0,8.753,10.0,1.0,1.42121518,910559805.0,8.724,10.0,1.0,1.42121518,910559805.0,8.505,10.0,1.0,1.42121518,910559805.0,8.514,10.0,1.0,1.42121518,8.597360515791152
910559805.0,8.753,10.0,1.0,1.42121518,910559805.0,8.724,10.0,1.0,1.42121518,910559805.0,8.505,10.0,1.0,1.42121518,910559805.0,8.514,10.0,1.0,1.42121518,910559805.0,8.683,10.0,1.0,1.42121518,8.868714954954164
910559805.0,8.724,10.0,1.0,1.42121518,910559805.0,8.505,10.0,1.0,1.42121518,910559805.0,8.514,10.0,1.0,1.42121518,910559805.0,8.683,10.0,1.0,1.42121518,910559805.0,8.91,10.0,1.0,1.42121518,8.485181247512031
910559805.0,8.505,10.0,1.0,1.42121518,910559805.0,8.514,10.0,1.0,1.42121518,910559805.0,8.683,10.0,1.0,1.42121518,910559805.0,8.91,10.0,1.0,1.42121518,910559805.0,8.83,10.0,1.0,1.42121518,8.313547758065084
910559805.0,8.514,10.0,1.0,1.42121518,910559805.0,8.683,10.0,1.0,1.42121518,910559805.0,8.91,10.0,1.0,1.42121518,910559805.0,8.83,10.0,1.0,1.42121518,910559805.0,8.664,10.0,1.0,1.42121518,8.325824937532875
910559805.0,8.683,10.0,1.0,1.42121518,910559805.0,8.91,10.0,1.0,1.42121518,910559805.0,8.83,10.0,1.0,1.42121518,910559805.0,8.664,10.0,1.0,1.42121518,910559805.0,8.656,10.0,1.0,1.42121518,8.148587814455682
910559805.0,8.91,10.0,1.0,1.42121518,910559805.0,8.83,10.0,1.0,1.42121518,910559805.0,8.664,10.0,1.0,1.42121518,910559805.0,8.656,10.0,1.0,1.42121518,910559805.0,8.469,10.0,1.0,1.42121518,8.091656536799324
910559805.0,8.83,10.0,1.0,1.42121518,910559805.0,8.664,10.0,1.0,1.42121518,910559805.0,8.656,10.0,1.0,1.42121518,910559805.0,8.469,10.0,1.0,1.42121518,910559805.0,8.211,10.0,1.0,1.42121518,7.0517463999549435
910559805.0,8.664,10.0,1.0,1.42121518,910559805.0,8.656,10.0,1.0,1.42121518,910559805.0,8.469,10.0,1.0,1.42121518,910559805.0,8.211,10.0,1.0,1.42121518,910559805.0,7.109,10.0,1.0,1.42121518,6.911784520890397
910559805.0,8.656,10.0,1.0,1.42121518,910559805.0,8.469,10.0,1.0,1.42121518,910559805.0,8.211,10.0,1.0,1.42121518,910559805.0,7.109,10.0,1.0,1.42121518,910559805.0,6.857,10.0,1.0,1.42121518,6.806703450389464
910559805.0,8.469,10.0,1.0,1.42121518,910559805.0,8.211,10.0,1.0,1.42121518,910559805.0,7.109,10.0,1.0,1.42121518,910559805.0,6.857,10.0,1.0,1.42121518,910559805.0,6.772,10.0,1.0,1.42121518,6.94697590503353
910559805.0,8.211,10.0,1.0,1.42121518,910559805.0,7.109,10.0,1.0,1.42121518,910559805.0,6.857,10.0,1.0,1.42121518,910559805.0,6.772,10.0,1.0,1.42121518,910559805.0,6.755,10.0,1.0,1.42121518,7.022624537982588
910559805.0,7.109,10.0,1.0,1.42121518,910559805.0,6.857,10.0,1.0,1.42121518,910559805.0,6.772,10.0,1.0,1.42121518,910559805.0,6.755,10.0,1.0,1.42121518,910559805.0,6.723,10.0,1.0,1.42121518,6.82403994161912
910559805.0,6.857,10.0,1.0,1.42121518,910559805.0,6.772,10.0,1.0,1.42121518,910559805.0,6.755,10.0,1.0,1.42121518,910559805.0,6.723,10.0,1.0,1.42121518,910559805.0,6.915,10.0,1.0,1.42121518,6.842420251612799
910559805.0,6.772,10.0,1.0,1.42121518,910559805.0,6.755,10.0,1.0,1.42121518,910559805.0,6.723,10.0,1.0,1.42121518,910559805.0,6.915,10.0,1.0,1.42121518,910559805.0,6.848,10.0,1.0,1.42121518,7.126590768104881
910559805.0,6.755,10.0,1.0,1.42121518,910559805.0,6.723,10.0,1.0,1.42121518,910559805.0,6.915,10.0,1.0,1.42121518,910559805.0,6.848,10.0,1.0,1.42121518,910559805.0,6.854,10.0,1.0,1.42121518,7.066417737587135
910559805.0,6.723,10.0,1.0,1.42121518,910559805.0,6.915,10.0,1.0,1.42121518,910559805.0,6.848,10.0,1.0,1.42121518,910559805.0,6.854,10.0,1.0,1.42121518,910559805.0,7.085,10.0,1.0,1.42121518,7.087568084671586
910559805.0,6.915,10.0,1.0,1.42121518,910559805.0,6.848,10.0,1.0,1.42121518,910559805.0,6.854,10.0,1.0,1.42121518,910559805.0,7.085,10.0,1.0,1.42121518,910559805.0,7.015,10.0,1.0,1.42121518,7.049383736193005
910559805.0,6.848,10.0,1.0,1.42121518,910559805.0,6.854,10.0,1.0,1.42121518,910559805.0,7.085,10.0,1.0,1.42121518,910559805.0,7.015,10.0,1.0,1.42121518,910559805.0,7.097,10.0,1.0,1.42121518,7.09699448515749
910559805.0,6.854,10.0,1.0,1.42121518,910559805.0,7.085,10.0,1.0,1.42121518,910559805.0,7.015,10.0,1.0,1.42121518,910559805.0,7.097,10.0,1.0,1.42121518,910559805.0,7.059,10.0,1.0,1.42121518,7.0400159772733675
910559805.0,7.085,10.0,1.0,1.42121518,910559805.0,7.015,10.0,1.0,1.42121518,910559805.0,7.097,10.0,1.0,1.42121518,910559805.0,7.059,10.0,1.0,1.42121518,910559805.0,7.24,10.0,1.0,1.42121518,7.118628724013698
910559805.0,7.015,10.0,1.0,1.42121518,910559805.0,7.097,10.0,1.0,1.42121518,910559805.0,7.059,10.0,1.0,1.42121518,910559805.0,7.24,10.0,1.0,1.42121518,910559805.0,7.281,10.0,1.0,1.42121518,7.049157293723628
910559805.0,7.097,10.0,1.0,1.42121518,910559805.0,7.059,10.0,1.0,1.42121518,910559805.0,7.24,10.0,1.0,1.42121518,910559805.0,7.281,10.0,1.0,1.42121518,910559805.0,7.347,10.0,1.0,1.42121518,7.047673429918977
910559805.0,7.059,10.0,1.0,1.42121518,910559805.0,7.24,10.0,1.0,1.42121518,910559805.0,7.281,10.0,1.0,1.42121518,910559805.0,7.347,10.0,1.0,1.42121518,910559805.0,7.322,10.0,1.0,1.42121518,6.961555046866142
910559805.0,7.24,10.0,1.0,1.42121518,910559805.0,7.281,10.0,1.0,1.42121518,910559805.0,7.347,10.0,1.0,1.42121518,910559805.0,7.322,10.0,1.0,1.42121518,910559805.0,7.31,10.0,1.0,1.42121518,7.102908468647714
910559805.0,7.281,10.0,1.0,1.42121518,910559805.0,7.347,10.0,1.0,1.42121518,910559805.0,7.322,10.0,1.0,1.42121518,910559805.0,7.31,10.0,1.0,1.42121518,910559805.0,7.264,10.0,1.0,1.42121518,7.153328883062618
910559805.0,7.347,10.0,1.0,1.42121518,910559805.0,7.322,10.0,1.0,1.42121518,910559805.0,7.31,10.0,1.0,1.42121518,910559805.0,7.264,10.0,1.0,1.42121518,910559805.0,7.338,10.0,1.0,1.42121518,7.451637808474967
910559805.0,7.322,10.0,1.0,1.42121518,910559805.0,7.31,10.0,1.0,1.42121518,910559805.0,7.264,10.0,1.0,1.42121518,910559805.0,7.338,10.0,1.0,1.42121518,910559805.0,7.59,10.0,1.0,1.42121518,7.548746053453312
910559805.0,7.31,10.0,1.0,1.42121518,910559805.0,7.264,10.0,1.0,1.42121518,910559805.0,7.338,10.0,1.0,1.42121518,910559805.0,7.59,10.0,1.0,1.42121518,910559805.0,7.665,10.0,1.0,1.42121518,7.4588756869199795
910559805.0,7.264,10.0,1.0,1.42121518,910559805.0,7.338,10.0,1.0,1.42121518,910559805.0,7.59,10.0,1.0,1.42121518,910559805.0,7.665,10.0,1.0,1.42121518,910559805.0,7.685,10.0,1.0,1.42121518,7.616337224066739
910559805.0,7.338,10.0,1.0,1.42121518,910559805.0,7.59,10.0,1.0,1.42121518,910559805.0,7.665,10.0,1.0,1.42121518,910559805.0,7.685,10.0,1.0,1.42121518,910559805.0,7.655,10.0,1.0,1.42121518,7.556814010873238
910559805.0,7.59,10.0,1.0,1.42121518,910559805.0,7.665,10.0,1.0,1.42121518,910559805.0,7.685,10.0,1.0,1.42121518,910559805.0,7.655,10.0,1.0,1.42121518,910559805.0,7.661,10.0,1.0,1.42121518,7.61910423279746
910559805.0,7.665,10.0,1.0,1.42121518,910559805.0,7.685,10.0,1.0,1.42121518,910559805.0,7.655,10.0,1.0,1.42121518,910559805.0,7.661,10.0,1.0,1.42121518,910559805.0,7.51,10.0,1.0,1.42121518,7.662211103702751
910559805.0,7.685,10.0,1.0,1.42121518,910559805.0,7.655,10.0,1.0,1.42121518,910559805.0,7.661,10.0,1.0,1.42121518,910559805.0,7.51,10.0,1.0,1.42121518,910559805.0,7.509,10.0,1.0,1.42121518,7.718772214051445
910559805.0,7.655,10.0,1.0,1.42121518,910559805.0,7.661,10.0,1.0,1.42121518,910559805.0,7.51,10.0,1.0,1.42121518,910559805.0,7.509,10.0,1.0,1.42121518,910559805.0,7.501,10.0,1.0,1.42121518,7.6431819626638
910559805.0,7.661,10.0,1.0,1.42121518,910559805.0,7.51,10.0,1.0,1.42121518,910559805.0,7.509,10.0,1.0,1.42121518,910559805.0,7.501,10.0,1.0,1.42121518,910559805.0,7.371,10.0,1.0,1.42121518,7.458837061053539
910559805.0,7.51,10.0,1.0,1.42121518,910559805.0,7.509,10.0,1.0,1.42121518,910559805.0,7.501,10.0,1.0,1.42121518,910559805.0,7.371,10.0,1.0,1.42121518,910559805.0,7.392,10.0,1.0,1.42121518,7.386305001842299
