0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,target
438271869.0,92.74,10.0,1.0,1.50185161,438271869.0,91.65,10.0,1.0,1.50185161,438271869.0,91.72,10.0,1.0,1.50185161,438271869.0,92.67,10.0,1.0,1.50185161,438271869.0,93.54,10.0,1.0,1.50185161,90.92655083089956
438271869.0,91.65,10.0,1.0,1.50185161,438271869.0,91.72,10.0,1.0,1.50185161,438271869.0,92.67,10.0,1.0,1.50185161,438271869.0,93.54,10.0,1.0,1.50185161,438271869.0,93.58,10.0,1.0,1.50185161,90.26741677921328
438271869.0,91.72,10.0,1.0,1.50185161,438271869.0,92.67,10.0,1.0,1.50185161,438271869.0,93.54,10.0,1.0,1.50185161,438271869.0,93.58,10.0,1.0,1.50185161,438271869.0,93.14,10.0,1.0,1.50185161,87.09155197
438271869.0,92.67,10.0,1.0,1.50185161,438271869.0,93.54,10.0,1.0,1.50185161,438271869.0,93.58,10.0,1.0,1.50185161,438271869.0,93.14,10.0,1.0,1.50185161,438271869.0,90.75,10.0,1.0,1.50185161,84.98288819217129
438271869.0,93.54,10.0,1.0,1.50185161,438271869.0,93.58,10.0,1.0,1.50185161,438271869.0,93.14,10.0,1.0,1.50185161,438271869.0,90.75,10.0,1.0,1.50185161,438271869.0,87.65,10.0,1.0,1.50185161,86.35582982883415
438271869.0,93.58,10.0,1.0,1.50185161,438271869.0,93.14,10.0,1.0,1.50185161,438271869.0,90.75,10.0,1.0,1.50185161,438271869.0,87.65,10.0,1.0,1.50185161,438271869.0,86.94,10.0,1.0,1.50185161,86.49747125607246
438271869.0,93.14,10.0,1.0,1.50185161,438271869.0,90.75,10.0,1.0,1.50185161,438271869.0,87.65,10.0,1.0,1.50185161,438271869.0,86.94,10.0,1.0,1.50185161,438271869.0,87.82,10.0,1.0,1.50185161,88.20382113786324
438271869.0,90.75,10.0,1.0,1.50185161,438271869.0,87.65,10.0,1.0,1.50185161,438271869.0,86.94,10.0,1.0,1.50185161,438271869.0,87.82,10.0,1.0,1.50185161,438271869.0,90.08,10.0,1.0,1.50185161,97.67177363736856
438271869.0,87.65,10.0,1.0,1.50185161,438271869.0,86.94,10.0,1.0,1.50185161,438271869.0,87.82,10.0,1.0,1.50185161,438271869.0,90.08,10.0,1.0,1.50185161,438271869.0,97.11,10.0,1.0,1.50185161,96.63199026799526
438271869.0,86.94,10.0,1.0,1.50185161,438271869.0,87.82,10.0,1.0,1.50185161,438271869.0,90.08,10.0,1.0,1.50185161,438271869.0,97.11,10.0,1.0,1.50185161,438271869.0,99.72,10.0,1.0,1.50185161,95.36812369351138
438271869.0,87.82,10.0,1.0,1.50185161,438271869.0,90.08,10.0,1.0,1.50185161,438271869.0,97.11,10.0,1.0,1.50185161,438271869.0,99.72,10.0,1.0,1.50185161,438271869.0,98.9,10.0,1.0,1.51245898,96.33487165603871
438271869.0,90.08,10.0,1.0,1.50185161,438271869.0,97.11,10.0,1.0,1.50185161,438271869.0,99.72,10.0,1.0,1.50185161,438271869.0,98.9,10.0,1.0,1.51245898,438271869.0,97.91,10.0,1.0,1.51245898,96.59104035923475
438271869.0,97.11,10.0,1.0,1.50185161,438271869.0,99.72,10.0,1.0,1.50185161,438271869.0,98.9,10.0,1.0,1.51245898,438271869.0,97.91,10.0,1.0,1.51245898,438271869.0,99.27,10.0,1.0,1.51245898,96.03029326679818
