0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,target
261755983.0,63.8,10.0,1.0,1.72116375,261755983.0,63.5,10.0,1.0,1.72116375,261755983.0,62.7,10.0,1.0,1.72116375,261755983.0,62.4,10.0,1.0,1.72116375,261755983.0,62.0,10.0,1.0,1.72116375,78.59842488352925
261755983.0,63.5,10.0,1.0,1.72116375,261755983.0,62.7,10.0,1.0,1.72116375,261755983.0,62.4,10.0,1.0,1.72116375,261755983.0,62.0,10.0,1.0,1.72116375,261755983.0,62.3,10.0,1.0,1.72116375,81.95870643459787
261755983.0,62.7,10.0,1.0,1.72116375,261755983.0,62.4,10.0,1.0,1.72116375,261755983.0,62.0,10.0,1.0,1.72116375,261755983.0,62.3,10.0,1.0,1.72116375,261755983.0,63.6,10.0,1.0,1.72116375,82.86370442027435
261755983.0,62.4,10.0,1.0,1.72116375,261755983.0,62.0,10.0,1.0,1.72116375,261755983.0,62.3,10.0,1.0,1.72116375,261755983.0,63.6,10.0,1.0,1.72116375,261755983.0,65.7,10.0,1.0,1.72116375,82.61602042819528
261755983.0,62.0,10.0,1.0,1.72116375,261755983.0,62.3,10.0,1.0,1.72116375,261755983.0,63.6,10.0,1.0,1.72116375,261755983.0,65.7,10.0,1.0,1.72116375,261755983.0,67.1,10.0,1.0,1.72116375,83.20770236606093
261755983.0,62.3,10.0,1.0,1.72116375,261755983.0,63.6,10.0,1.0,1.72116375,261755983.0,65.7,10.0,1.0,1.72116375,261755983.0,67.1,10.0,1.0,1.72116375,261755983.0,66.7,10.0,1.0,1.72116375,86.17055479559406
261755983.0,63.6,10.0,1.0,1.72116375,261755983.0,65.7,10.0,1.0,1.72116375,261755983.0,67.1,10.0,1.0,1.72116375,261755983.0,66.7,10.0,1.0,1.72116375,261755983.0,66.9,10.0,1.0,1.72116375,86.93477065917736
261755983.0,65.7,10.0,1.0,1.72116375,261755983.0,67.1,10.0,1.0,1.72116375,261755983.0,66.7,10.0,1.0,1.72116375,261755983.0,66.9,10.0,1.0,1.72116375,261755983.0,69.3,10.0,1.0,1.72116375,84.77553639233011
261755983.0,67.1,10.0,1.0,1.72116375,261755983.0,66.7,10.0,1.0,1.72116375,261755983.0,66.9,10.0,1.0,1.72116375,261755983.0,69.3,10.0,1.0,1.72116375,261755983.0,67.8,10.0,1.0,1.72116375,84.53745070876283
261755983.0,66.7,10.0,1.0,1.72116375,261755983.0,66.9,10.0,1.0,1.72116375,261755983.0,69.3,10.0,1.0,1.72116375,261755983.0,67.8,10.0,1.0,1.72116375,261755983.0,66.8,10.0,1.0,1.72116375,83.8618825922855
261755983.0,66.9,10.0,1.0,1.72116375,261755983.0,69.3,10.0,1.0,1.72116375,261755983.0,67.8,10.0,1.0,1.72116375,261755983.0,66.8,10.0,1.0,1.72116375,261755983.0,66.3,10.0,1.0,1.72116375,84.30710554499683
261755983.0,69.3,10.0,1.0,1.72116375,261755983.0,67.8,10.0,1.0,1.72116375,261755983.0,66.8,10.0,1.0,1.72116375,261755983.0,66.3,10.0,1.0,1.72116375,261755983.0,65.7,10.0,1.0,1.72116375,83.30927247926347
261755983.0,67.8,10.0,1.0,1.72116375,261755983.0,66.8,10.0,1.0,1.72116375,261755983.0,66.3,10.0,1.0,1.72116375,261755983.0,65.7,10.0,1.0,1.72116375,261755983.0,65.8,10.0,1.0,1.72116375,85.53645810178621
261755983.0,66.8,10.0,1.0,1.72116375,261755983.0,66.3,10.0,1.0,1.72116375,261755983.0,65.7,10.0,1.0,1.72116375,261755983.0,65.8,10.0,1.0,1.72116375,261755983.0,66.8,10.0,1.0,1.72116375,84.67808543459385
261755983.0,66.3,10.0,1.0,1.72116375,261755983.0,65.7,10.0,1.0,1.72116375,261755983.0,65.8,10.0,1.0,1.72116375,261755983.0,66.8,10.0,1.0,1.72116375,261755983.0,67.0,10.0,1.0,1.72116375,82.75911643061744
