Date,Open,High,Low,Close,Volume
2014-12-09 00:00:00-05:00,36.11854954159435,36.708424165244764,35.732863118803834,36.39080047607422,9425427
2014-12-10 00:00:00-05:00,36.25467999924169,36.685742837642046,35.34717795992035,35.46061706542969,7654973
2014-12-11 00:00:00-05:00,35.46061231642945,35.687486895479886,34.28085946314959,34.3942985534668,8445526
2014-12-12 00:00:00-05:00,34.07668002889743,34.689244791362015,33.69099350543929,33.736366271972656,7967000
2014-12-15 00:00:00-05:00,34.16741960611022,34.689235087958984,33.804419567458496,33.87248229980469,10707532
2014-12-16 00:00:00-05:00,34.12204679546656,34.50773321039701,32.69273302015978,32.73810577392578,12223970
2014-12-17 00:00:00-05:00,33.07841968368215,34.190109784645976,32.87423148544896,34.14473342895508,11023762
2014-12-18 00:00:00-05:00,35.1203024,35.82361618993368,34.84805143406382,35.800926208496094,12256929
2014-12-19 00:00:00-05:00,35.80092153116644,36.390799744543024,35.68748604513609,36.16392517089844,8393591
2014-12-22 00:00:00-05:00,36.23198620248129,36.27735895413015,35.12029616174464,35.71017074584961,7135581
2014-12-23 00:00:00-05:00,35.84629274512826,36.25466908006581,35.55135548153449,35.68748092651367,4383313
2014-12-24 00:00:00-05:00,35.77824401855469,35.937055899294116,35.301804774751616,35.77824401855469,2057511
2014-12-26 00:00:00-05:00,36.027799505492496,36.1412349908903,35.80092133152917,35.89167404174805,2644944
2014-12-29 00:00:00-05:00,35.937046795273616,36.20929772276252,35.68748584613137,35.89167404174805,2949563
2014-12-30 00:00:00-05:00,35.68749252134344,36.14124175097445,35.46061790652792,35.95974349975586,3854390
2014-12-31 00:00:00-05:00,35.959726192733505,36.36809886222232,35.77822442728519,35.82360076904297,3679734
2015-01-02 00:00:00-05:00,36.005115346355296,36.25467993741647,35.55136612826063,36.02780532836914,4340408
2015-01-05 00:00:00-05:00,35.48330492898229,35.5059913103986,33.78173988472918,33.9405517578125,9026467
2015-01-06 00:00:00-05:00,34.076670166258566,34.87073296820484,33.6909837544277,34.19010925292969,8063670
2015-01-07 00:00:00-05:00,34.666544270107345,35.324485200718414,34.507732432339346,35.074920654296875,6637744
2015-01-08 00:00:00-05:00,35.52867149335997,36.413483343549196,35.27910696028079,36.07316970825195,8185851
2015-01-09 00:00:00-05:00,36.368115916771764,36.64036689182285,35.73286844376522,36.549617767333984,6963088
2015-01-12 00:00:00-05:00,37.207545628404475,37.275608354616764,36.14123198546775,36.685733795166016,12658843
2015-01-13 00:00:00-05:00,37.366368694707965,37.502490573371304,35.619427432586065,35.8463020324707,15726051
2015-01-14 00:00:00-05:00,35.07492884361214,35.120305208533416,32.987677284172584,33.91786575317383,22831752
2015-01-15 00:00:00-05:00,34.39430056837499,34.55311242285552,33.80442230638646,33.96323776245117,11009155
2015-01-16 00:00:00-05:00,33.940553244349225,34.66655349731445,33.940553244349225,34.66655349731445,9056513
2015-01-20 00:00:00-05:00,34.84804341264246,35.347168865613895,34.167416157870726,35.27910614013672,10799001
2015-01-21 00:00:00-05:00,35.27911762274135,36.36811798323913,35.006866632220735,36.11855697631836,8572992
2015-01-22 00:00:00-05:00,36.368110497144926,36.45886320969419,35.642110406254574,36.39080047607422,6397670
2015-01-23 00:00:00-05:00,35.84629949774152,36.186613174296696,35.25642485943524,35.755550384521484,7765085
2015-01-26 00:00:00-05:00,35.64210915794136,36.54961104056234,35.30179550176052,36.48154830932617,5157095
2015-01-27 00:00:00-05:00,35.66480772650713,36.41349434885413,35.66480772650713,36.11855697631836,6497462
2015-01-28 00:00:00-05:00,36.36811397236381,36.708427672982914,35.75555291283371,35.8463020324707,6707199
2015-01-29 00:00:00-05:00,36.11855514518588,36.300056996859446,35.41524132252567,36.25468063354492,6128007
2015-01-30 00:00:00-05:00,35.95973802210639,36.413487182619036,35.43792252577447,35.505985260009766,6991178
2015-02-02 00:00:00-05:00,35.891674072461555,36.52692503661797,35.75554860860062,36.4588623046875,6117728
2015-02-03 00:00:00-05:00,37.094123338768966,37.70668449085102,36.663060453383515,37.683998107910156,8083729
2015-02-04 00:00:00-05:00,37.45671100376652,37.84309536754164,37.18396740199519,37.32033920288086,6317978
2015-02-05 00:00:00-05:00,37.365787614745834,38.865873412606724,37.29760173265668,38.79768753051758,10063171
2015-02-06 00:00:00-05:00,38.63859238847842,38.63859238847842,37.43397741747203,37.66126251220703,8717936
2015-02-09 00:00:00-05:00,36.59300899720797,36.59300899720797,35.34293591664504,35.570220947265625,12946275
2015-02-10 00:00:00-05:00,35.72933203303684,36.18390220009252,35.34294414374894,36.16117477416992,10461132
2015-02-11 00:00:00-05:00,35.77479004230837,35.77479004230837,34.66108834419759,35.138389587402344,11489263
2015-02-12 00:00:00-05:00,35.70659268725794,35.888422876614285,35.32020849601292,35.570220947265625,8046442
2015-02-13 00:00:00-05:00,35.911167679451026,36.183911291452674,35.45659739818265,35.933895111083984,6689846
2015-02-17 00:00:00-05:00,36.002069906932476,36.04752836427535,35.54749976590547,35.797515869140625,5404411
2015-02-18 00:00:00-05:00,35.75206340275844,36.09299286970834,35.50204725762817,36.02480697631836,5190720
2015-02-19 00:00:00-05:00,35.86570560454153,36.41119277373797,35.59296562804449,36.36573791503906,6917520
2015-02-20 00:00:00-05:00,36.20662225017473,36.52482418877164,35.68386630374399,35.888423919677734,5900791
2015-02-23 00:00:00-05:00,35.5247806399094,35.54750806983977,34.956566026839916,35.252037048339844,5818851
2015-02-24 00:00:00-05:00,35.38839983715367,35.86569739281849,35.29748292436959,35.774784088134766,4144902
2015-02-25 00:00:00-05:00,35.59295820747701,35.683871514022044,33.75194300336267,34.09286880493164,14294673
2015-02-26 00:00:00-05:00,34.29742941716348,34.5247181153352,33.95650358610738,34.34288787841797,7813816
2015-02-27 00:00:00-05:00,34.32016407706971,34.433804830058676,33.411020012652436,33.615577697753906,8656471
2015-03-02 00:00:00-05:00,33.61557590335129,34.13833199863842,33.501931548327555,33.97923278808594,8059675
2015-03-03 00:00:00-05:00,33.82012470100297,34.82018177357053,33.82012470100297,34.50197982788086,6827591
2015-03-04 00:00:00-05:00,33.50192101851574,33.59283430909969,32.160934647978294,33.16099166870117,16788681
2015-03-05 00:00:00-05:00,32.79733746693143,32.9337092175378,32.32003633980912,32.68369674682617,7139700
2015-03-06 00:00:00-05:00,32.52460372336357,33.092818318659084,32.34277707340566,32.91099166870117,8322472
2015-03-09 00:00:00-04:00,31.660914873438145,31.79728665099142,30.319928132898106,31.138158798217773,32623096
2015-03-10 00:00:00-04:00,30.979064572892284,31.183618663998427,30.54722174393243,30.683589935302734,14035913
2015-03-11 00:00:00-04:00,30.86541420595183,30.97905855279441,30.68358397262384,30.888141632080078,9652476
2015-03-12 00:00:00-04:00,31.206346875097417,31.547276342885645,30.956330729352366,31.365446090698242,8986226
